KEY,English(US)
QuitTheGame,Вийти з гри та повернутись до головного екрану?
R1ControlHelp,[A85038][HSHD]Бій:[XTAB=80][383838][HSHD]Втеча (утримувати [CBTN=L1] та\n[XTAB=80][CBTN=R1] одночасно).\n[A85038][HSHD]Мапа місцевості:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]Мапа світу:[XTAB=80][383838][HSHD]Обертати мапу проти годинникової стрілки.
R2ControlHelp,[A85038][HSHD]Бій:[XTAB=80][383838][HSHD]Авто-бій.\n[A85038][HSHD]Мапа місцевості:[XTAB=80][383838][HSHD]N/A\n[A85038][HSHD]Мапа світу:[XTAB=80][383838][HSHD]Змінити перспективу.
ReceivedGil,Отримано Гіл
Run,Бігти
Save,Зберегти
SaveHelpBlock,Обрати блок.
SaveHelpCheck,Перевірка...
SaveHelpLoad,Завантаження...
SaveHelpSave,Збереження...
SaveHelpSlot,Обрати Теки збереження.
SaveOverwrite,Попередній файл.\nПерезаписати?
SaveOverwriteCancelHelp,Скасовує збереження.[ENDN]
SaveOverwriteOkHelp,Переписує дані та\nзберігає до Теки збереження.[ENDN]
SaveSlotHelp,Зберігає до\nТеки збереження {0}.[ENDN]
SaveSuccess,Дані збережено.
Select,Обрати
SelectCard1Help,Натисніть [CBTN=CROSS] щоб викинути одну карту.[ENDN]
SelectCard2MoreHelp,Натисніть [CBTN=L1] [CBTN=R1] щоб гортати карти.\nНатисніть [CBTN=CROSS] щоб викинути одну карту.[ENDN]
SelectChocoHelp,Вибрати з\nнаявного Чокографа.[ENDN]
SelectControlHelp,[A85038][HSHD]Бій:[XTAB=80][383838][HSHD]Увімкнути допомогу.\n[A85038][HSHD]Мапа місцевості:[XTAB=80][383838][HSHD]Позначка ТУТ.\n[A85038][HSHD]Мапа світу:[XTAB=80][383838][HSHD]Переключити навігаційну мапу.
SelectDataHelpInfo,Виберіть дані для завантаження.
SelectedCaption,ОБРАНО
SelectSyncHelpInfo,Виберіть для синхронізації з Хмарним сховищем.
Sell,Продати
SellHelp,Що б ви хотіли продати?
SellQtyHelp,Скільки?
SellShopHelp,Продати предмети\nз інвентаря.[ENDN]
ShowBasicTutorial,Посібник з Базового керування
ShowBasicTutorialHelpMobile,Натисніть щоб відобразити Посібник з Базового керування.
ShowBasicTutorialHelpPC,Натисніть [CBTN=CROSS] щоб відобразити Посібник з Базового керування.
ShowBattleTutorial,Бойовий посібник
ShowBattleTutorialHelpMobile,Натисніть щоб відобразити Бойовий посібник.
ShowBattleTutorialHelpPC,Натисніть [CBTN=CROSS] щоб відобразити Бойовий посібник.
SkipBattleCamera,Пропустити інтро бою
SkipBattleCameraHelpMobile,"Натисніть щоб встановити режим початку бою.\nВиберіть УВІМК., Щоб почати бій без інтро."
SkipBattleCameraHelpPC,"Натисніть [DBTN=LEFT][DBTN=RIGHT] щоб встановити режим\nпочатку бою. Виберіть УВІМК., Щоб почати\nбій без інтро."
SkipMovieDialog,"[STRT=110,4][PCHC=2,1][IMME][FEED=5]Ви хочете пропустити\n[FEED=5]цю кат-сцену?\n[CHOO][FEED=14]Так\n[FEED=14]Ні[ENDN]"
SlotCaption,СЛОТ
SlotNo,слот {0}
Slow,Повіль.
Sound,Звук
SoundEffect,Звукові ефекти
SoundEffectHelpMobile,Натисніть щоб увімкнути/вимкнути звукові ефекти.
SoundEffectHelpPC,Натисніть [DBTN=LEFT][DBTN=RIGHT] щоб\nувімкнути/вимкнути звукові ефекти.
SoundHelpMobile,Натисніть щоб увімкнути/вимкнути фонову музику.
SoundHelpPC,Натисніть [DBTN=LEFT][DBTN=RIGHT] щоб\nувімкнути/вимкнути фонову музику.
SpecialDesp,Карти/Мугл
Speed,Швидкість
Spirit,Дух
SquareControlHelp,[A85038][HSHD]Бій:[XTAB=80][383838][HSHD]Очистити всі вікна.\n[A85038][HSHD]Мапа місцевості:[XTAB=80][383838][HSHD]Кинути виклик гравцю в карти.\n[A85038][HSHD]Мапа світу:[XTAB=80][383838][HSHD]Покликати мугла/Рухати транспорт назад.
Status,Стан
StatusDetailHelp,[FEED=4]Стан[FEED=18]\n[YADD=4][ICON=154] [YSUB=4][FEED=6]Скам'яніння\n[YADD=4][ICON=153] [YSUB=4][FEED=6]Отруєння\n[YADD=4][ICON=152] [YSUB=4][FEED=6]Вірус\n[YADD=4][ICON=151] [YSUB=4][FEED=6]Мовчання\n[YADD=4][ICON=150] [YSUB=4][FEED=6]Темрява\n[YADD=4][ICON=149] [YSUB=4][FEED=6]Занепокоєння\n[YADD=4][ICON=148] [YSUB=4][FEED=6]Зомбі[YADD=2][ENDN]
StatusHelp,Переглянути параметри персонажа\nта вивчені здібності.
Stock,В торбі:
Strength,Сила
SuccessDownloadDesc,Завантаження завершене.
SuccessUploadDesc,Вивантаження завершене.
SynthesisShop,Синтез
SynthHelp,Що б ви хотіли синтезувати?
TapToResume,"Натисніть, щоб продовжити"
TargetCaption,TARGET
TargetHelp,Обрати персонажа.[ENDN]
TargetHelpMobile,Обрати персонажа.[ENDN]
TheEndSprite,theend_us_uk_jp
TimeAndGilCaption,ЧАС та ГІЛ
TitleBack,title_back_01
TitleCloud,title_menu_cloud
TitleContinue,title_menu_continue
TitleInfo,title_info_00
TitleLanguageHeaderSprite,title_language_header_01
TitleLoadGame,title_menu_loadgame
TitleMenuSqen,title_menu_sqen_01
TitleMovieGallery,title_movie_01
TitleNewGame,title_menu_newgame
ToggleHelp,Увімкнути допомогу
ToTitle,Головне меню
ToTitleHelpMobile,Натисніть щоб вийти з поточної гри\nта повернутись до Головного меню.
ToTitleHelpPC,Натисніть [CBTN=CROSS] щоб вийти з поточної гри\nта повернутись до Головного меню.
Touch,Дотик
TouchToConfirm,Натисніть щоб підтвердити.
Trance,Транс
TranceCaption,ТРАНС
TrashCaption,МОТЛОХ
TriangleControlHelp,[A85038][HSHD]Бій:[XTAB=80][383838][HSHD]Зміна на іншого готового персонажа.\n[A85038][HSHD]Мапа місцевості:[XTAB=80][383838][HSHD]Відкрити Головне меню.\n[A85038][HSHD]Мапа світу:[XTAB=80][383838][HSHD]Відкрити Головне меню/Рухатися всередині\n[XTAB=80]транспортного засобу.
TriggerDesp,Зафіксувати камеру
TutorialATBIcon,tutorial_help_01_us_uk_jp_fr_gr_it
TutorialBottomParagraph,"Щоб отримати докладні пояснення, натисніть кнопку знака питання у Головному меню."
TutorialLeftParagraphMobile,"Ви можете віддавати команди  кожному персонажу, натискаючи на них, коли їхню шкалу ATB заповнено."
TutorialLeftParagraphPC,"Ви можете віддавати команди  кожному персонажу, натискаючи на них, коли їхню шкалу ATB заповнено."
TutorialRightParagraphMobile,"Коли кілька персонажів готові до виконання дій, ви можете переключитися між ними. Натиснувши на на персонажа чи ворога також можна змінити ціль для поточної дії."
TutorialRightParagraphPC,"Коли кілька персонажів готові до виконання дій, ви можете переключитися між ними. Натиснувши на на персонажа чи ворога також можна змінити ціль для поточної дії."
TutorialTapOnCharacterIconMobile,tutorial_help_02_us
TutorialTapOnCharacterIconPC,tutorial_help_pc_02_us_uk
Upload,Вивантажити
UploadCaption,ВИВАНТАЖИТИ
UploadOverwrite,Усі збережені дані у Хмарі буде перезаписано.\nПродовжити та перезаписати?
Use,Використати
UseAbility,Використ.
UseAbilityHelp,Використати активні здібності.\n[ENDN]
UseAbilityHelpForever,[A85038][HSHD]Цей персонаж не може використовувати це.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Меню спорядження)[ENDN]
UseAbilityHelpForeverMobile,[A85038][HSHD]Цей персонаж не може використовувати це.[383838][HSHD]\nНатисніть на Меню здібностей щоб переключитися на Меню спорядження[ENDN]
UseAbilityHelpStatus,Не може бути використано якщо ви під дією\n[YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]Скам'яніння[383838][HSHD] або [YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]Мовчання[383838][HSHD].\n[CBTN=SQUARE][FEED=2](Меню спорядження)[ENDN]
UseAbilityHelpStatusMobile,Не може бути використано якщо ви під дією\n[YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]Скам'яніння[383838][HSHD] або [YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]Мовчання[383838][HSHD].\nНатисніть на Меню здібностей щоб переключитися на Меню спорядження[ENDN]
UseAbilityNoMagic,[A85038][HSHD]Не можна використовувати у цій місцевості.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Меню спорядження)[ENDN]
UseAbilityNoMagicMobile,[A85038][HSHD]Не можна використовувати у цій місцевості.[383838][HSHD]\nНатисніть на Меню здібностей щоб переключитися на Меню спорядження[ENDN]
UseChocoboItem,[CENT=0][IMME]Квєєє!
UseHelp,Використати предмети.[ENDN]
Vibration,Вібрація
VibrationHelpPC,Натисніть [DBTN=LEFT] [DBTN=RIGHT] щоб увімкнути/вимкнути\nфункцію вібрації.
Wait,Чекати
Walk,Йти
WarningAccessData,"Зчитування даних, зачекайте будь ласка..."
WarningCaption,СПОВІЩЕННЯ
WarningDownloadData,Завантаження...
WarningSaveData,"Запис даних, зачекайте будь ласка..."
WarningUploadData,Вивантаження...
WeaponCaption,ЗБРОЯ
WeaponShop,Зброя
Win,Перемога
WindowColor,Колір вікна
WindowColorHelpMobile,Натисніть щоб обрати колір вікна.
WindowColorHelpPC,Натисніть [DBTN=LEFT] [DBTN=RIGHT] щоб обрати колір вікна.
WristCaption,БРАСЛЕТ
Yes,Так
YourGameProgressMayLost,*Незбережені дані будуть втрачені.
ReadingDirection,Left_To_Right
NameShort,UKR
GilSymbol,%[YSUB=1.3][sub]Г
SoundVolume,Sound Volume
MusicVolume,Music Volume
MovieVolume,Movie Volume
VoiceVolume,Voice Volume
ATBModeNormal,ATB: Normal
ATBModeFast,ATB: Fast
ATBModeTurnBased,ATB: Turn-Based
ATBModeDynamic,ATB: Dynamic
AutoText,Auto Text
FailedMixMessage,The combination failed!
ElementWeak,Weak to [FFCC00]%[FFFFFF]
ElementResist,Resistant to [FFCC00]%[FFFFFF]
ElementImmune,Immune to [FFCC00]%[FFFFFF]
ElementAbsorb,Absorb [FFCC00]%[FFFFFF]
StatusImmune,Immune: [FFCC00]%[FFFFFF]
StatusAuto,Auto: [FFCC00]%[FFFFFF]
StatusResist,Resist: [FFCC00]%[FFFFFF]
AttackList,[b]Abilities[/b]
